Layer name, IFMAP Height, IFMAP Width, Filter Height, Filter Width, Channels, Num Filter, Strides, Type, IFMAP Base Addr, Filter Base Addr, Ofmap Base Addr,
RHN0,1660,830,830,1,1,1,1,Gemm,-1,-1,-1,
RHN1,1660,830,830,1,1,1,1,Gemm,-2,-1,-1,
RHN2,1660,830,830,1,1,1,1,Gemm,1000002,-1,-1,
RHN3,1660,830,830,1,1,1,1,Gemm,1000002,-1,-1,
RHN4,1660,830,830,1,1,1,1,Gemm,1000002,-1,-1,
RHN5,1660,830,830,1,1,1,1,Gemm,1000002,-1,-1,
RHN6,1660,830,830,1,1,1,1,Gemm,1000002,-1,-1,
RHN7,1660,830,830,1,1,1,1,Gemm,1000002,-1,-1,
RHN8,1660,830,830,1,1,1,1,Gemm,1000002,-1,-1,
RHN9,1660,830,830,1,1,1,1,Gemm,1000002,-1,-1,
RHN10,1660,830,830,1,1,1,1,Gemm,1000002,-1,-1,
FC,830,10000,10000,1,1,1,1,Gemm,-2,-1,-1,
